,,,,,,,,,,,,,,,
,1,Year,Date,Employee,WO/SO,Part #,Product Family,Operation,QTY,Target Time,Actual Time,QTY Complete,Actual Time/Unit,Target/Unit,Root Cause
,41,2019,10/9,DK,28400,1204-32,Option Cards,Test,9,90,90,9,10,10,
,41,2019,10/9,DK,28474,1204-30,Option Cards,Test,3,30,30,3,10,10,
,41,2019,10/9,DK,28482,1200-201,SecureSync,Test,3,96,30,0,,32,
,41,2019,10/9,DK,28482,1200-201,SecureSync,Test,3,96,120,2,60,32,
,41,2019,10/9,MR,28453,1204-18,Option Cards,Assembly,6,60,10,0,,10,
,41,2019,10/9,MR,28504,1204-10,Option Cards,Assembly,4,40,10,0,,10,
,41,2019,10/9,MR,28506,1191-2001-0600,Timing ,Assembly,3,24,10,0,,8,
,41,2019,10/9,MR,28450,1204-1C,Option Cards,Assembly,21,210,25,0,,10,
,41,2019,10/9,MR,28507,1204-27,Option Cards,Assembly,9,90,150,0,,10,
,41,2019,10/9,MR,28515,1209-0003-0601,SecureSync,Assembly,1,47,25,0,,47,
,41,2019,10/9,MR,59198,1200-233,Configuration,Assembly,4,40,25,0,,10,
,41,2019,10/9,MR,28516,PS06R-2Z1M-DT01,Kits,Assembly,10,50,55,0,,5,
,41,2019,10/9,RD,28398,1209-0002-0600,SecureSync,Test,4,128,90,3,30,32,
,41,2019,10/9,KP,28509,1200-R010-0600,SecureSync,Assembly,2,94,40,2,20,47,
,41,2019,10/9,KP,28470,1209-0012-0600,SecureSync,Assembly,8,376,320,8,40,47,
,41,2019,10/9,KP,28508,1200-011,SecureSync,Assembly,8,376,84,0,,47,
,41,2019,10/9,CS,28419,1200-413,SecureSync,Test,3,96,45,3,15,32,
,41,2019,10/9,CS,28509,1200-R010-0600,SecureSync,Test,2,64,45,2,23,32,NC-003699
,41,2019,10/9,CS,28394,1191-1001-0600,Timing ,Test,8,192,125,8,16,24,
,41,2019,10/9,CS,28447,1200-203,SecureSync,Test,9,288,125,7,18,32,
,41,2019,10/9,RD,28270,1118-0002-0600,Timing ,Test,5,120,240,5,48,24,NC-003703
,41,2019,10/9,JO,28447,1200-203,SecureSync,Assembly,9,423,120,9,13,47,
,41,2019,10/9,JO,28451,1212-005X-2000,GSG,Assembly,10,900,390,0,,90,
,41,2019,10/9,DK,28469,1204-13,Option Cards,Test,5,50,50,5,10,10,
,41,2019,10/9,DK,28401,1204-1C,Option Cards,Test,21,210,120,21,6,10,
,41,2019,10/9,DK,28476,1204-32,Option Cards,Test,9,90,120,9,13,10,NC-003700
,41,2019,10/10,KP,28508,1200-011,SecureSync,Assembly,8,376,135,8,17,47,
,41,2019,10/10,KP,28520,1232-013,Velasync,Assembly,4,48,55,4,14,12,
,41,2019,10/10,JO,28451,1212-005X-2000,GSG,Assembly,10,900,210,0,,90,
,41,2019,10/10,CS,28447,1200-203,SecureSync,Test,2,64,30,2,15,32,
,41,2019,10/10,CS,28470,1209-0012-0600,SecureSync,Test,8,256,200,8,25,32,
,41,2019,10/10,MR,60712,1200-203,Configuration,Assembly,1,10,7,0,,10,
,41,2019,10/10,MR,60678,1200-021,Configuration,Assembly,2,20,14,0,,10,
,41,2019,10/10,MR,60676,1200-013,Configuration,Assembly,2,20,14,0,,10,
,41,2019,10/10,MR,60677,1200-013,Configuration,Assembly,1,10,7,0,,10,
,41,2019,10/10,MR,60361,1200-013,Configuration,Assembly,1,10,7,0,,10,
,41,2019,10/10,MR,60671,1200-013,Configuration,Assembly,2,20,14,0,,10,
,41,2019,10/10,MR,60094,1200-213,Configuration,Assembly,1,10,7,0,,10,
,41,2019,10/10,MR,60639,1200-413,Configuration,Assembly,3,30,21,0,,10,
,41,2019,10/10,MR,28516,PS06R-2Z1M-DT01,Kits,Assembly,10,50,90,10,9,5,
,41,2019,10/11,MR,60640,1200-031,Configuration,Assembly,1,10,8,0,,10,
,41,2019,10/11,MR,60741,1200-003,Configuration,Assembly,1,10,8,0,,10,
,41,2019,10/11,MR,59497,1200-023,Configuration,Assembly,2,20,16,0,,10,
,41,2019,10/11,MR,60772,1200-003,Configuration,Assembly,1,10,8,0,,10,
,41,2019,10/11,MR,60736,1200-003,Configuration,Assembly,1,10,8,0,,10,
,41,2019,10/11,MR,28540,1209-9004-0601,SecureSync,Assembly,2,94,20,0,,47,
,41,2019,10/11,MR,60740,1200-013,Configuration,Assembly,2,20,16,0,,10,
,41,2019,10/11,MR,60745,1200-233,Configuration,Assembly,2,20,16,0,,10,
,41,2019,10/11,MR,60797,1200-213,Configuration,Assembly,2,20,16,0,,10,
,41,2019,10/11,MR,59195,1200-003,Configuration,Assembly,2,20,16,0,,10,
,41,2019,10/11,MR,60834,2406-013,Configuration,Assembly,4,40,33,0,,10,
,41,2019,10/11,MR,28519,1204-14,Option Cards,Assembly,18,180,60,0,,10,
,41,2019,10/11,KP,28522,1200-413,SecureSync,Assembly,3,141,165,3,55,47,
,41,2019,10/11,KP,28481,1200-203,SecureSync,Assembly,3,141,10,0,,47,
,41,2019,10/11,JO,28451,1212-005X-2000,GSG,Assembly,10,900,210,0,,90,
,41,2019,10/11,RD,28398,1209-0002-0600,SecureSync,Test,1,32,10,1,10,32,
,41,2019,10/11,RD,28508,1200-011,SecureSync,Test,8,256,110,8,14,32,
,41,2019,10/11,RD,28522,1200-413,SecureSync,Test,3,96,50,3,17,32,
,41,2019,10/11,RD,28453,1204-18,Option Cards,Test,6,60,15,6,3,10,
,42,2019,10/13,DK,28450,1204-1C,Option Cards,Test,21,210,120,21,6,10,NC-003711
,42,2019,10/13,DK,28519,1204-14,Option Cards,Test,18,180,135,18,8,10,
,42,2019,10/13,DK,28507,1204-27,Option Cards,Test,9,90,30,3,10,10,
,42,2019,10/14,JO,28451,1212-005X-2000,GSG,Assembly,10,900,150,10,15,90,
,42,2019,10/14,JO,28465,1212-006X-2000,GSG,Assembly,8,720,300,0,,90,
,42,2019,10/14,KP,28481,1200-203,SecureSync,Assembly,3,141,205,3,68,47,
,42,2019,10/14,KP,28521,1209-0212-0600,SecureSync,Assembly,1,47,40,1,40,47,
,42,2019,10/14,KP,28569,1200-031,SecureSync,Assembly,2,94,78,2,39,47,
,42,2019,10/14,KP,28510,1204-29,Option Cards,Assembly,6,60,15,6,3,10,
,42,2019,10/14,KP,28533,1204-28,Option Cards,Assembly,6,60,13,6,2,10,
,42,2019,10/14,MR,28534,1204-26,Option Cards,Assembly,3,30,51,0,,10,
,42,2019,10/14,MR,28510,1204-29,Option Cards,Assembly,6,60,30,0,,10,
,42,2019,10/14,MR,28533,1204-28,Option Cards,Assembly,6,60,40,0,,10,
,42,2019,10/14,MR,28572,1186-3002-0600,Timing ,Assembly,10,80,25,10,3,8,
,42,2019,10/14,MR,28471,1204-23,Option Cards,Assembly,5,50,15,5,3,10,
,42,2019,10/14,MR,58936,1200-053,Configuration,Assembly,2,20,45,0,,10,
,42,2019,10/14,MR,60791,1200-011,Configuration,Assembly,1,10,23,0,,10,
,42,2019,10/14,MR,60714,1200-011,Configuration,Assembly,2,20,45,0,,10,
,42,2019,10/14,MR,60771,1200-231,Configuration,Assembly,1,10,23,0,,10,
,42,2019,10/14,MR,60792,1200-031,Configuration,Assembly,2,20,45,0,,10,
,42,2019,10/14,MR,28539,1204-04,Option Cards,Assembly,15,150,40,0,,10,
,42,2019,10/15,DK,28507,1204-27,Option Cards,Test,9,90,60,6,10,10,
,42,2019,10/15,DK,28510,1204-29,Option Cards,Test,6,60,45,6,8,10,
,42,2019,10/15,DK,28533,1204-28,Option Cards,Test,6,60,45,6,8,10,
,42,2019,10/15,DK,28471,1204-23,Option Cards,Test,5,50,35,5,7,10,
,42,2019,10/15,DK,28534,1204-26,Option Cards,Test,3,30,30,3,10,10,
,42,2019,10/15,DK,28539,1204-04,Option Cards,Test,15,150,120,15,8,10,
,42,2019,10/15,CS,28506,1191-2001-0600,Timing ,Test,3,72,55,3,18,24,
,42,2019,10/15,CS,28635,1219-0000-0600,Timing ,Test,3,72,80,3,27,24,
,42,2019,10/15,CS,28523,1200-001,SecureSync,Test,10,320,90,0,,32,
,42,2019,10/15,CS,28391,1200-001,SecureSync,Test,3,96,30,0,,32,
,42,2019,10/15,KP,28480,1200-C073-0600,SecureSync,Assembly,4,188,480,0,,47,
,42,2019,10/15,JO,28465,1212-006X-2000,GSG,Assembly,8,720,450,0,,90,
,42,2019,10/15,MR,28624,1209-0001-0601,SecureSync,Assembly,3,141,30,0,,47,
,42,2019,10/15,MR,28325,1209-0002-0601,SecureSync,Assembly,4,188,40,0,,47,
,42,2019,10/15,MR,60862,1200-011,Configuration,Assembly,8,80,80,0,,10,
,42,2019,10/15,MR,28545,PS06R-2Z1M-DT01,Kits,Assembly,10,50,90,0,,5,
,42,2019,10/15,MR,28505,1204-25,Option Cards,Assembly,9,90,150,0,,10,
,42,2019,10/15,MR,28472,1204-05,Option Cards,Assembly,12,120,30,0,,10,
,42,2019,10/15,MR,60915,1200-013,Configuration,Assembly,1,10,9,0,,10,
,42,2019,10/15,MR,60792,1200-033,Configuration,Assembly,2,20,18,0,,10,
,42,2019,10/15,MR,60830,1200-413,Configuration,Assembly,1,10,9,0,,10,
,42,2019,10/15,MR,60851,1200-013,Configuration,Assembly,2,20,18,0,,10,
,42,2019,10/15,MR,60822,1200-013,Configuration,Assembly,1,10,9,0,,10,
,42,2019,10/15,MR,28538,1209-0003-0601,SecureSync,Assembly,6,282,54,0,,47,
,42,2019,10/15,RD,28569,1200-031,SecureSync,Test,2,64,30,2,15,32,
,42,2019,10/15,RD,28521,1209-0212-0600,SecureSync,Test,1,32,20,1,20,32,
,42,2019,10/15,RD,28481,1200-203,SecureSync,Test,3,96,45,3,15,32,
,42,2019,10/15,RD,28572,1186-3002-0600,Timing ,Test,10,240,225,9,25,24,
,42,2019,10/16,DK,28505,1204-25,Option Cards,Test,9,90,135,9,15,10,
,42,2019,10/16,DK,28472,1204-05,Option Cards,Assembly,12,120,60,12,5,10,
,42,2019,10/16,DK,28600,1200-H033-0600,SecureSync,Test,8,256,90,0,,32,
,42,2019,10/16,CS,28523,1200-001,SecureSync,Assembly,13,611,390,13,30,47,
,42,2019,10/16,CS,28542,1200-003,SecureSync,Assembly,8,376,70,0,,47,
